cond,block,white_point,gamma,chroma_gamma,saturation,value_in,hue_in_deg,chroma_out,lum_out,hue_out_deg
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,120.0,14.85,239.74,68.4
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,150.0,7.02,249.22,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,180.0,5.67,244.92,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,210.0,17.72,230.23,184.7
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,240.0,6.59,252.36,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,270.0,0.1,254.96,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,300.0,2.04,253.49,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,330.0,2.04,252.66,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,0.0,10.25,251.07,178.6
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,30.0,6.91,252.4,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,60.0,3.31,253.75,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,90.0,0.24,254.88,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,120.0,1.5,253.99,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,150.0,3.06,253.22,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,180.0,0.73,254.75,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,210.0,8.49,235.43,154.0
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,240.0,6.57,252.76,
