cond,white_point,gamma,chroma_gamma,saturation,period_px,orientation,contrast_in,modulation_out,retained
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,24,d,180,142.0,0.68
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,32,d,180,176.0,0.842
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,48,d,180,208.93,1.0
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,8,h,80,14.23,0.185
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,12,h,80,14.5,0.188
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,16,h,80,21.65,0.281
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,24,h,80,36.68,0.476
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,32,h,80,67.17,0.871
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,48,h,80,77.09,1.0
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,8,v,80,0.28,0.003
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,12,v,80,66.81,0.638
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,16,v,80,104.68,1.0
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,24,v,80,101.92,0.974
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,32,v,80,71.57,0.684
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,48,v,80,84.16,0.804
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,8,d,80,1.33,0.015
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,12,d,80,82.6,0.916
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,16,d,80,90.2,1.0
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,24,d,80,74.57,0.827
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,32,d,80,47.67,0.528
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,48,d,80,87.67,0.972
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,8,h,180,3.19,0.016
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,12,h,180,56.24,0.289
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,16,h,180,103.27,0.531
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,24,h,180,121.23,0.624
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,32,h,180,122.81,0.632
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,48,h,180,194.37,1.0
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,8,v,180,130.6,0.643
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,12,v,180,77.71,0.383
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,16,v,180,145.44,0.717
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,24,v,180,202.97,1.0
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,32,v,180,130.39,0.642
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,48,v,180,195.23,0.962
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,8,d,180,138.57,0.756
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,12,d,180,84.27,0.46
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,16,d,180,164.93,0.9
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,24,d,180,140.67,0.767
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,32,d,180,147.67,0.805
linepairs_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,48,d,180,183.33,1.0
